BHL Image,BHL Common Name,BHL Scientific Name,Plate Number,SAAM Image,Similarity,SAAM Title,SAAM Date,SAAM markings,Match Validation
42602787,Red Lily,Lilium montanum,11,SAAM-1970.355.350_1,0.94312894,Red Lily (Lilium montanum),1923,lower left in watercolor: M. V. W./Sinclair Cañon/10  7.2.1923.,Match
42602789,Cottongrass,Eriophorum chamissonis,12,SAAM-1970.355.351_2,0.7477768,Slender Cotton-Grass (Eriophorum chamissonis),1920,lower left in watercolor: M. V. W./Clearwater Camp/9.3.1920,Not Match
42602791,Vernal Iris,Iris verna,13,SAAM-1970.355.352_2,0.9014473,Vernal Iris (Iris verna),1918,lower right in pencil: Beaufort SC/3.14.1918,Match
42602793,Anemolena,Symsdonia thalictroides,14,SAAM-1970.355.353_2,0.8492434,Anemonella (Syndesmon thalictroides),1917,lower left in watercolor: Washington/4.24.1917,Match
42602795,White Troulity,Erythronium albidum,15,SAAM-1970.355.354_2,0.92548525,White Troutlily (Erythronium albidum),1919,"lower left in watercolor: Washington/4.8.1919. 
back lower center in pencil: Erythronium albidum
back upper center in ink: 3
",Match
42602797,Hazel Alder,Alnus rugosa,16,SAAM-1970.355.355_2,0.9535527,Hazel Alder (Alnus regosa),1920,lower right in watercolor: M. V. W./3.24.1920.,Match
42602799,Tarlflower,Befaria racemosa,17,SAAM-1970.355.356_2,0.8958241,Tarflower (Befaria racemosa),1922,"lower left in watercolor: M. V. W./6.1.1922/13 
back lower center in pencil: Tarflower/Befaria Racemosa/(fam. Ericaceae) native of Florida
back upper center in pencil: 2",Match
42602801,Alpine Fir,Abies lasiocarpa,18,SAAM-1970.355.357_2,0.95964897,Alpine Fir (Abies lasiocarpa),1918,lower right in watercolor: Pinacle Peak/8.10.1918,Match
42602803,Oconee Bells,Shortia galacifolia,19,SAAM-1970.355.358_2,0.92572594,Oconee-Bells (Shortia galacifolia),1919,"lower left in watercolor: 3.21.1919
back upper center in pencil: 4",Match
42602805,Virginia Bluebells,Mertensia virginica,20,SAAM-1970.355.359_2,0.8940159,Virginia Bluebells (Mertensia virginica),1919,"lower left in watercolor: Washington/4.10.1919  Blue Bell
back lower right in pencil: Mertensia virginica
",Match
42602807,Burggs Milkvetch,Astragalus bourgovii,21,SAAM-1970.355.360_2,0.9036085,Burgess Milkvetch (Astragalus bourgovii),1922,"lower left in watercolor: M. V. W./Hillsdale/7.21.1922/7
back lower center in pencil: 3",Match
42602809,Greendragon,Arisaema dracontium,22,SAAM-1970.355.361_2,0.9267499,Greendragon (Arisaema dracontium),1920,lower right in watercolor: M. V. W./6.11.1920,Match
42602811,Toad Trillium,Trillium sessile,23,SAAM-1970.355.362_2,0.94806033,Toad Trillium (Trillium sessile),1920,lower right in watercolor: M. V. W./5.4.1920,Match
42602813,Southern Magnolia (flower),Magnolia grandiflora,24,SAAM-1970.355.363_2,0.9467163,Southern Magnolia (Magnolia grandiflora),1918,lower right in watercolor: Washington/6.22.1918.,Match
42602815,Southern Magnolia (fruit),Magnolia grandiflora,24a,SAAM-1970.355.364_2,0.92810506,Southern Magnolia (Magnolia grandiflora),1923,lower left in watercolor: M. V. W/Wash'n/10.15.1923,Match
42602817,Trumpetleaf,Sarracenia flava,25,SAAM-1970.355.365_2,0.9214118,Trumpetleaf (Sarracenia flava),1920,lower right in watercolor: M. V. W./5.5.1920,Match
42602819,Redbud,Cercis canadensis,26,SAAM-1970.355.468_2,0.623351,Chickasaw Plum (Prunus angustifolia),1920,lower left in watercolor: M. V. W./4.23.1920.,Not Match
42602821,Tall Larkspur,Delphinium elongatum,27,SAAM-1970.355.367_2,0.9086839,Tall Larkspur (Delphinium elongatum),1920,"lower left in watercolor: M. V. W./Spruce Tree/Camp/Siffleur River/8.11.1920/16
back center in pencil: 2 (in a circle)",Match
42602823,Rhodora,Rhodora canadensis,28,SAAM-1970.355.591_1,0.64564216,Pinkshell Azalea (Azalea vaseyi),1925,lower left in watercolor: M. V. W./H (illegible).30.1925.,Not Match
42602825,Pickerelweed,Pontederia cordata,29,SAAM-1970.355.369_2,0.955052,Pickerelweed (Pontederia cordata),1919,lower right in watercolor: M. V. W./6.15.1919,Match
42602827,Creeping Hollygrape,Berberis repens,30,SAAM-1970.355.500_2,0.63287854,Western Mountain Ash (Sorbus sambucifolia),1918,lower right in watercolor: Vermilion Pass/9.15.1918.,Not Match
42602829,Red Chokeberry (flower),Aronia arbutifolia,31,SAAM-1970.355.371_2,0.8392986,Red Chokeberry (Aronia arbutifolia),ca. 1920s,back lower right in pencil: CH,Match
42602831,Red Chokeberry (fruit),Aronia arbutifolia,31a,SAAM-1970.355.372_3,0.92057574,Red Chokeberry (Aronia arbutifolia),1920,lower right in watercolor: M. V. W./11.1.1920,Match
42602833,Devilsclub,Echinopanax horridum,32,SAAM-1970.355.373_2,0.89273685,Devilsclub (Echinopanax horridum),1917,"lower left in watercolor: Burgess Pass/9.12.1917
lower right in watercolor: Helen",Match
42602835,Crested Iris,Iris cristata,33,SAAM-1970.355.374_2,0.950091,Crested Iris (Iris cristata),1918,lower right in watercolor: Plummersland/4.30.1918.,Match
42602837,Lily Twqyblade,Lipoaris liliifolia,34,SAAM-1970.355.375_2,0.92763615,Lily Twayblade (Liparis liliifolia),1920,lower left in watercolor: M. V. W./6.5.'20,Match
42602839,Missouri Pricklypear,Opuntia polyacantha,35,SAAM-1970.355.82_2,0.8373598,Walkingstick Cholla (Opuntia imbricata),1934,lower left in watercolor: MVW/Santa Fe/6.30.34,Not Match
42602841,Butterflyweed,Asclepias tuberosa,36,SAAM-1970.355.377_2,0.8745824,Butterfly Weed (Ascelpias tuberosa),1919,lower left in watercolor: M. V. W./6.21.1919.,Match
42602843,Skunkcabbage,Spathyema foetida,37,SAAM-1970.355.378_2,0.8932095,Skunk Cabbage (Spathyema foetida),1918,lower left in watercolor: Washington/3.23.1918,Match
42602845,Red-osier Dogwood,Cornus stolonifera,38,SAAM-1970.355.274_1,0.58451515,Pacific Dogwood (Cornus nuttallii),1933,,Not Match
42602847,Birdfsoot Violet,Viola pedata,39,SAAM-1970.355.380_2,0.94569576,Birdsfoot Violet (Viola pedata),1917,lower left in watercolor: Washington/4.25.1917.,Match
42602849,Virginia Spiderwort,Tradescantia virginiana,40,SAAM-1970.355.381_2,0.8499143,Virginia Spiderwort (Tradescantia virginiana),1920,lower left in watercolor: M. V. W./5.27.20,Match
42602851,Leatherflower,Clematis vinral,41,SAAM-1970.355.382_2,0.9340329,Leather Flower (Clematis viorna),1920,lower right in pencil: M. V. W./6 17. '20,Match
42602853,Purple Saxifrage,Saxifraga oppositifolia,42,SAAM-1970.355.383_2,0.8206436,Purple Saxifrage (Saxifraga oppositifolia),1924,lower right in watercolor: M. V. W./Baker Lake/7.31.1924  7,Match
42602855,Flame Azalea,Azalea lutea,43,SAAM-1970.355.384_2,0.9415215,Flame Azalea (Azalea lutea),1921,lower left in watercolor: M. V. W./4.30.1921,Match
42602857,Rabbitean,Cracca virgimiana,44,SAAM-1970.355.385_2,0.9379321,Rabbitbean (Cracca virginiana),1918,lower right in watercolor: Washington/5.28.1918,Match
42602859,Tuliptree,Liriodendron tulipifera,45,SAAM-1970.355.386_2,0.9479172,Tuliptree (Liriodendron tulipifera),1918,lower right in watercolor: Washington/5.26.1918,Match
42602861,Trumpet Honeysuckle,Lonicera sempervirens,46,SAAM-1970.355.43_2,0.5829443,California Fuschia (Zauschneria californica),1936,lower left in watercolor: Palo Alto/8-11-'36,Not Match
42602863,Red Buckeye,Aesculus pavia,47,SAAM-1970.355.387_2,0.96550745,Red Buckeye (Aesculus pavia),1918,lower right in pencil: Beaufort SC/3.11.1918,Match
42602865,Rose Paintbrush,Castilleja pallida,48,SAAM-1970.355.388_2,0.93522894,Rose Paintbrush (Castilleja pallida),1920,"lower left in watercolor: M. V. W./Clerwater Camp/8.30.1920/27
back center in pencil: 1 (in a circle)",Match
42602867,Shootingstar,Dodecatheon meadia,49,SAAM-1970.355.389_2,0.9082321,Shooting Star (Dodecatheon meadia),1919,"lower right in watercolor: M. V. W./5.7.1919
back lower center in pencil: 4 (in a circle)",Match
42602869,Prairie Penstemon,Penstemon erianthera,50,SAAM-1970.355.390_2,0.90334,Prairie Pentstemon (Pentstemon erianthera),1923,lower left in watercolor: M. V. W./Sinclair Canon/6.15.1923-/3,Match
42602871,Wild Sweet Crab,Malus coronaria,51,SAAM-1970.355.391_2,0.95293164,Wild Sweet Crab (Malus coronaria),1920,lower left in watercolor: M. V. W./1920 (barely legible),Match
42602873,Pitcherplant,Sarracenia purpurea,52,SAAM-1970.355.5_2,0.79614663,Hybrid Pitcherplant (Sarracenia rubra xs purpurea venosa),1920,lower left in watercolor: MVW/5.12.1920,Not Match
42602875,Prairie-smoke,Sieversia ciliata,53,SAAM-1970.355.393_2,0.89354813,Prairie-Smoke (Sieversia ciliata),1921,"lower left in watercolor: M. V. W./Hillsdale/7.11.21
lower right in watercolor: 4",Match
42602877,Winterberry,Ilex verticillata,54,SAAM-1970.355.394_2,0.9507414,Winterberry (Ilex verticillata),1920,"lower left in watercolor: M. V. W./1.15.1920
back lower right in pencil: Ilex decidua
back upper right in pencil: Ilex migra",Match
42602879,Sweet Azalea,Azalea arborescens,55,SAAM-1970.355.395_2,0.9433541,Sweet Azalea (Azalea arborescens),1921,lower left in watercolor: M. V. W./Washington/1921,Match
42602881,Krushea (flower),Krushea streptopoides,56,SAAM-1970.355.396_2,0.850569,Kruhsea (Kruhsea streptopoides),1913,"lower left in watercolor: Glacier/7.15.1913
back upper center in pencil: 2
",Match
42602883,Krushea (fruit),Krushea streptopoides,56a,SAAM-1970.355.397_2,0.8913183,Kruhsea (Kruhsea streptopoides),1922,lower left in watercolor: M. V. W. /Glacier/9.8.1922/17,Match
42602885,Arethusa,Arethusa bulbosa,57,SAAM-1970.355.398_2,0.917917,Arethusa (Arethusa bulbosa),1918,lower right in watercolor: Washington/5.25.1918.,Match
42602887,Pale Ladyslipper,Cypripedium acaule,58,SAAM-1970.355.399_2,0.9583148,Pale Lady's Slipper (Cypridedium acaule),1919,"lower right in watercolor: M. V. W./5.15.1919
back lower right in pencil: Cypridedium acaule",Match
42602889,Quaker-ladies,Houstonia caerulea,59,SAAM-1970.355.400_2,0.8498167,Quakerladies (Houstonia caerulea),1917,lower left in watercolor: Washington/4.24.1917,Match
42602891,Bearberry Honeysuckle,Lonicera involucrata,60,SAAM-1970.355.401_2,0.8395157,Bearberry Honeysuckle (Lonicera involucrata),1917,lower left in watercolor: Hector/7.22.1917,Match
42602893,Pink Fleabane,Erigeron caespitosus,61,SAAM-1970.355.402_2,0.8943224,Pink Fleabane (Erigeron caespitosus),1921,lower left in watercolor: M.V.W./Sascatchewan/8.28.1921./20,Match
42602895,Labrador-tea,Ledum groenlandicum,62,SAAM-1970.355.403_2,0.93357456,Labrador Tea (Ledum groenlandicum),1922,"lower left in watercolor: M. V. W./4.18.22
back lower center in pencil: Labrador-Tea",Match
42602897,Northern Bedstraw,Galium boreale,63,SAAM-1970.355.404_2,0.91594887,Northern Bedstraw (Galium boreale),1922,lower left in watercolor: M. V. W./Hillsdale/7.19.1922./4,Match
42602899,Bronzebells,Stenanthera occidentalis,64,SAAM-1970.355.405_2,0.90833145,Bronzebells (Stenanthium occidentale),1906,"lower right in watercolor: LakeLouise/7.30.1906.
back lower left in pencil: B-3",Match
42602901,Roundleaf Orchis,Orchis rotundifolia,65,SAAM-1970.355.406_2,0.6440835,Roundleaf Orchis (Orchis rotundifolia),1924,lower right in watercolor: M. V. W./7.14.1924/Emerald Lake 3,Not Match
42602903,Prickly Currant (flower),Ribes lacustre,66,SAAM-1970.355.407_2,0.9250675,Prickly Currant (Ribes lacustre),1917,"lower left in watercolor: Burgess Pass/7.27.1917
lower right in watercolor: Helen",Match
42602905,Prickly Currant (fruit),Ribes lacustre,67,SAAM-1970.355.408_2,0.9150919,Prickly Currant (Ribes lacustre),1919,lower left in watercolor: Glacier Lake/9.6.1919.,Match
42602907,Glaucialrly,Erythronium grandiflorum,68,SAAM-1970.355.409_2,0.8099357,Glacierlily (Erythronium grandiflorum),1899,"lower left in watercolor: M. M. V./Glacier/8/9 '99
lower right in watercolor: Mt. Avalanche",Not Match
42602909,Balsamroot,Balsamorhiza sagittata,69,SAAM-1970.355.410_2,0.929144,Balsamroot (Balsamorhiza sagittata),1923,lower left in watercolor: Sinclair Canon/6.10.1923/2.,Match
42602911,Silverberry (flower),Elaeagnus commutata,70,SAAM-1970.355.411_2,0.90388846,Silverberry (Elaeagnus commutata),1920,lower right in watercolor: M.V.W./Ghost River/7.16.1920,Match
42602913,Silverberry (fruit),Elaeagnus commutata,71,SAAM-1970.355.412_2,0.8425799,Silverberry (Elaeagnus commutata),1922,"lower right in watercolor: M. V. W./Kootenay Park/9.19.1922  22
back lower center in pencil: 1 (in a circle)",Match
42602915,Twinleaf,Jeffersonia diphylla,72,SAAM-1970.355.413_2,0.9047359,Twinleaf (Jeffersonia diphylla),1919,lower right in watercolor: 3.25.1919,Match
42602917,Ivory Baneberry,Actaea arguta,73,SAAM-1970.355.414_2,0.8351487,Ivory Baneberry (Actaea arguta),1922,lower left in watercolor: M V. W./Vermilion Camp/9.12.1922/19,Match
42602919,Pink Mountain-heather,Phyllodoce empetriformis,74,SAAM-1970.355.415_2,0.90725887,Pink Mountain Heather (Phyllodoce empetriformis),1924,lower left in watercolor: M. V. W./Burgess Pass/7.15.1924/4,Match
42602921,Rocky Mountain Cassiope,Cassiope mertensiana,75,SAAM-1970.355.416_3,0.78206646,Rocky Mountain Cassiope (Cassiope mertensiana),1924,"lower left in watercolor: M. V. W./Baker Lake/8.9.1924/10
back lower right in pencil: White Heather",Not Match
42602923,One-leaf-bog-orchid,Habenaria obtusata,76,SAAM-1970.355.417_2,0.90258247,One-Leaf-Bog-Orchid (Habenaria obtusata),1922,lower right in watercolor: M. V. W./Hillsdale/7.13.1922 3,Match
42602925,Bush Cinquefoil,Potentilla fruticosa,77,SAAM-1970.355.418_2,0.8966007,Bush Cinquefoil (Potentilla fruticosa),1917,"lower right in watercolor: Burgess Pass/9.9.17.
lower left in watercolor: Helen",Match
42667817,Douglas Honeysuckle (flower),Lonicera glaucescens,81,SAAM-1970.355.419_2,0.9027285,Douglas Honeysuckle (Lonicera glaucescens),1919,lower left in watercolor: Lake Minnewanka/7. 7.1919.,Match
42667819,Douglas Honeysuckle (fruit),Lonicera glaucescens,82,SAAM-1970.355.420_2,0.91972613,Douglas Honeysuckle (Lonicera glaucescens),1922,lower right in watercolor: M. V. W./Simpson Camp/9.15.1922/20,Match
42667821,Pink Twistedstalk,Streptopus curvipes,83,SAAM-1970.355.421_2,0.9652982,Pink Twisted Stalk (Streptopus curvipes),1913,lower left in pencil: Glasier (sic)/1913,Match
42667823,Clasping Twistedstalk,Streptopus amplexifolius,84,SAAM-1970.355.422_2,0.9572649,Clasping Twisted Stalk (Streptopus amplexifolius),1916,lower left in watercolor: Hector/9.5.1916,Match
42667825,White Pea,Lathyrus ochroleucus,85,SAAM-1970.355.423_2,0.91226554,White Pea (Lathyrus ochroleucus),1920,lower right in watercolor: M. V. W./Lake Minnewanka/7.22.1920/14,Match
42667827,Mountain Juniper,Juniperus sibirica,86,SAAM-1970.355.424_2,0.93459725,Mountain Juniper (Juniperus sibirica),1917,"lower right in watercolor: Vermilion Pass/9.15.1917.
back center in pencil: Juniperus sibirica
back lower right in pencil: 86 Vol 2",Match
42667829,Riverbank Gentian,Gentiana affinis,87,SAAM-1970.355.425_2,0.9223155,Riverbank Gentian (Gentiana affinis),1924,"lower left in watercolor: M. V. W./Scotch Camp/Red Deer River/9.3.1924/17
back lower left in pencil: MVW",Match
42667831,Grassleaf Agoseris,Agoseris graminifolia,88,SAAM-1970.355.426_2,0.8033022,Grassleaf Agoseris (Agoseris graminifolia),1905,"lower left in watercolor: Lake Louise/8.13.1905
back center in pencil: Agoseris",Not Match
42667833,Slender Agoseris,Agoseris gracilens,89,SAAM-1970.355.427_2,0.88931227,Slender Agoseris (Agoseris gracilens),1922,lower left in watercolor: M. V. W./Douglas Lake/8.22.'22 Camp/13,Match
42667835,Showy Milkweed,Asclepias speciosa,90,SAAM-1970.355.428_2,0.9225719,Showy Milkweed (Asclepias speciosa),1923,lower left in watercolor: M.V.W./Fairmount Hot Springs/7.10.1923/12,Match
42667837,Northern Ladyslipper,Cypripedium passerinum,91,SAAM-1970.355.429_2,0.91722256,Northern Lady's Slipper (Cypripedium passerinum),1916,lower left in watercolor: Banff/7.10.1916.,Match
42667839,Small Yellow Ladyslipper,Cypripedium parviflorum,92,SAAM-1970.355.430_2,0.9537039,Small Yellow Ladyslipper (Cypripedium parviflorum),1917,"lower right in watercolor: Washington/6.5.1917
back upper right in ink: 4",Match
42667841,Rayless Groundsel,Senecio spartioides,93,SAAM-1970.355.431_2,0.7151579,Rayless Groundsel (Senecio pauciflorus),1921,lower left in watercolor: M. V. W./Flower Camp/7.31.1921./7,Not Match
42667843,Sand Naked Springbeauty,Claytonia parviflora,94,SAAM-1970.355.432_2,0.889553,Naiad Spring Beauty (Claytonia parvifolia),1905,"lower left in watercolor: Glacier/7.25.1905.
back center in pencil: Claytonia parvifolia",Match
42667845,American Pasqueflower (flower),Pulsatilla ludoviciana,95,SAAM-1970.355.433_1,0.9343987,American Pasqueflower (Pulsatilla ludoviciana),1922,lower left in watercolor: M. V. W./6.30.1922,Match
42667847,American Pasqueflower (fruit),Pulsatilla ludoviciana,96,SAAM-1970.355.434_1,0.8670798,American Pasqueflower (Pulsatilla ludoviciana),1920,lower left in watercolor: M. V. W.Ghost River/7.12.1920/6,Match
42667849,Sweetvetch,Hedysarum mackenzii,97,SAAM-1970.355.435_2,0.9418452,Sweetvetch (Hedysarum mackenzii),1921,lower left in watercolor: M. V. W./Badger Pass Camp/11  8.4.1921,Match
42667851,Mistletoad,Ramorinoa officinalis,98,SAAM-1970.355.436_2,0.87541544,Mistmaiden (Romanzoffia sitchensis),1907,"lower right in watercolor: Lake Louise/7.29.1907
back upper right in ink: 11",Match
42667853,Columbian Clematis (flower),Clematis columbiana,99,SAAM-1970.355.437_2,0.9417231,Columbia Clematis (Clematis columbiana),ca. 1900-1925,lower left in watercolor: Field,Match
42667855,Columbian Clematis (fruit),Clematis columbiana,100,SAAM-1970.355.437_2,0.47371888,Columbia Clematis (Clematis columbiana),ca. 1900-1925,lower left in watercolor: Field,Not Match
42667857,Lodgepole Pine,Pinus contorta murrayana,101,SAAM-1970.355.439_2,0.9588542,Lodgepole Pine (Pinus Contorta murrayana),1921,"lower left in watercolor: M. V. W./Clearwater Camp/24 9.22.1921-
back lower right in pencil: #101, Vol. 2",Match
42667859,Lanceleaf Paintbrush,Castilleja lanatafolia,102,SAAM-1970.355.440_2,0.9183841,Giant Red Paintbrush (Castilleja miniata),1921,lower left in watercolor: M. V. W./Molar Creek Camp/8.19.1921./14,Match
42667861,White Thistle,Cirsium hookerianum,103,SAAM-1970.355.441_2,0.95245993,White Thistle (Cirsium hookeranum),n.d.,back lower right in pencil: #103,Match
42667863,Gray Pussytoes,Antennaria howellii,104,SAAM-1970.355.442_2,0.9128567,Gray Pussytoes (Antennaria howellii),1921,lower left in watercolor: M. V. W./Saskatchewan/8.26.1921/19,Match
42667865,Calypso,Cypripedium bulbosum (Linnaeus),105,SAAM-1970.355.443_2,0.9054048,Calypso (Cytherea bulbosa),1916,lower left in watercolor: Glacier Park/6.16.16,Match
42667867,Rock Willow,Salix petrophila,106,SAAM-1970.355.444_2,0.84291375,Rock Willow (Salix petrophila),1917,lower left in watercolor: Burgess Pass/8.15.1917,Match
42667869,Sweet Androsace,Androsace carinata,107,SAAM-1970.355.445_2,0.884097,Sweet Androsace (Androsace carinata),1916,lower left in watercolor: Ptarmigan Valley/8.14.1916,Match
42667871,Bluegreen Gentian,Gentiana glauca,108,SAAM-1970.355.446_2,0.8589145,Bluegreen Gentian (Gentiana glauca),1916,lower left in watercolor: Ptarmigan Valley/8.18.1916,Match
42667873,Rocky Mountain Twayblade,Ophrys nephrophylla,109,SAAM-1970.355.447_2,0.8824494,Rocky Mountain Twayblade (Ophrys necrophylla),1919,lower left in watercolor: Yoho Lake/8.5.1919.,Match
42667875,Spotted Saxifrage,Saxifraga bronchialis,110,SAAM-1970.355.448_2,0.9047889,Spotted Saxifrage (Saxifraga bronchialis),1903,"lower left in watercolor: Moraine Lake/8.20.'03.
back lower right in pencil: Saxifraga bronchialis",Match
42667877,Bearberry (flower),Arctostaphylos uva-ursi (Linnaeus),111,SAAM-1970.355.449_2,0.82603294,Bearberry (Arctostaphylos uva-ursi),1916,lower left in watercolor: Mt. Assiniboine/7.28-1916,Match
42667879,Bearberry (fruit),Arctostaphylos uva-ursi (Linnaeus),112,SAAM-1970.355.450_2,0.9458686,Bearberry (Arctostaphylos uva-ursi),1916,lower left in watercolor: Banff/9.25.1916.,Match
42667881,Green Pyrola,Pyrola chlorantha,113,SAAM-1970.355.451_2,0.8561741,Green Pyrola (Pyrola chlorantha),1920,lower right in watercolor: M. V. W./Spruce Tree Camp/Siffleur River/8.6.1920,Match
42667883,Avalanche Buttercup,Ranunculus adscendens,114,SAAM-1970.355.452_2,0.9016205,Avalanche Buttercup (Ranunculus suksdorfii),1919,lower left in watercolor: M. V. W./Burgess Pass/7.17.1919.,Match
42667885,Canada Buffaloberry,Lepargyra canadensis (Linnaeus),115,SAAM-1970.355.453_2,0.954075,Canada Buffaloberry (Lepargyrea canadensis),1916,lower left in watercolor: Hector/9.2.1916.,Match
42667887,Deathcamas,Zigadenus elegans,116,SAAM-1970.355.454_2,0.87048745,Deathcamas (Zygadenus elegans),1917,"lower left in watercolor: Burgess Pass/8.12.1917
lower right in watercolor: Helen",Match
42667889,Saskatoon,Amelanchier alnifolia,117,SAAM-1970.355.455_2,0.9300208,Saskatoon (Amelanchier alnifolia),1923,"lower left in watercolor: M. V. W./Dry Creek Camp/22  8.18.1923-
backing mat verso lower left in pencil: Vol.II/117/SASKATOON
back lower right in pencil: #117",Match
42667891,Prairie Aster,Aster campestris,118,SAAM-1970.355.456_2,0.90303576,Prairie Aster (Aster campestris),1923,"lower left in watercolor: M. V. W./Dry Creek Camp./23. 8.19.1923-
back lower right in pencil: #118",Match
42667893,Owl-clover,Orthocarpus tenuifolius,119,SAAM-1970.355.457_2,0.9230178,Owl-clover (Orthocarpus tenuifolius),1923,lower left in watercolor: M. V. W./Kootenay Bridge/16  8.21.1923.,Match
42667895,Showy Oxytrope,Oxytropis splendens,120,SAAM-1970.355.458_2,0.88204366,Showy Oxytrope (Oxytropis splendens),1922,lower left in watercolor: M. V. W./Hillsdale/5  7.15.1922.,Match
42667897,Alpine Fornocel,Pedicularis contorta,121,SAAM-1970.355.459_2,0.9015249,Alpine Fernlife (Pedicularis contorta),1907,lower right in watercolor: Lake Louise/7.30.1907,Match
42667899,Pussy Willow,Salix discolor,122,SAAM-1970.355.460_2,0.9244121,Pussy Willow (Salix discolor),1920,lower left in watercolor: M. V. W./3.27.1920.,Match
42667901,Bloodroot,Sanguinaria canadensis,123,SAAM-1970.355.461_3,0.87012887,Bloodroot (Sanguinaria canadensis),1917,"lower left in watercolor: M. V. W./4.21.1917
back lower right in pencil: VoL. 2 #123",Match
42667903,Pyxie,Pyxidanthera barbulata,124,SAAM-1970.355.462_2,0.7819091,Pyxie (Pyxidanthera barbulata),1919,"lower left in watercolor: 4.15.1919.
back lower right in pencil: Pyxidanthera barbulata",Not Match
42667905,Hepatica,Hepatica americana,125,SAAM-1970.355.463_2,0.91844404,Hepatica (Hepatica americana),1917,lower left in watercolor: M. V. W./1917,Match
42667907,Trailing-arbutus,Epigaea repens,126,SAAM-1970.355.464_2,0.7816816,Trailing Arbutus (Epigaea repens),1917,lower left in watercolor: Washinton (sic)/4.14.1917.,Not Match
42667909,Canada Wildginger,Asarum canadense,127,SAAM-1970.355.465_2,0.95208514,Canada Wild Ginger (Asarum canadense),1920,"lower left in watercolor: M. V. W./5.4.1920.
back upper center in pencil: 127",Match
42667911,Pinksherbroom,Azalea nudiflora,128,SAAM-1970.355.466_2,0.9493277,Pinxter Bloom (Azalea nudiflora),1918,"lower right in watercolor: Washington./5.8.1918.
back lower right in pencil: #129 vol 2",Match
42667913,Wild Calla,Calla palustris,129,SAAM-1970.355.467_2,0.908512,Wild Calla (Calla palustris),1919,"lower right in watercolor: M. V. W./Chapleau/6.27.1919.
back upper right in pencil: 129/Vol. 2",Match
42667915,Chickasaw Plum,Prunus angustifolia,130,SAAM-1970.355.468_2,0.88575476,Chickasaw Plum (Prunus angustifolia),1920,lower left in watercolor: M. V. W./4.23.1920.,Match
42667917,Grass-pink Orchid,Limodorum tuberosum,131,SAAM-1970.355.469_1,0.923856,Grass-pink Orchid (Limodorum tuberosum),n.d.,,Match
42667919,Deerberry,Polycodium stamineum (Linnaeus),132,SAAM-1970.355.470_2,0.90851223,Deerberry (Polycodium stamineum),1922,"lower left in watercolor: M. V. W./10  5.17.1922. 
back lower right in pencil: #132",Match
42667921,Bog Kalmia,Kalmia polifolia,133,SAAM-1970.355.471_2,0.8959177,Bog Kalmia (Kalmia polifolia),1922,"lower left in watercolor: M. V. W./4.10.1922/2
back lower right in pencil: 1970.355.471",Match
42667923,Painted Trillium,Trillium undulatum,134,SAAM-1970.355.472_2,0.8972541,Painted Trillium (Trillium undulatum),1924,"lower right in watercolor: M. V. W./5.17.'24
lower left in watercolor: 7
back lower right in pencil: 1970.355.472",Match
