BHL Image,BHL Common Name,BHL Scientific Name,Plate Number,SAAM Image,Similarity,SAAM Title,SAAM Date,SAAM markings,Match Validation
42602767,Mountain Ladyslipper,Cypripedium montanum,1,SAAM-1970.355.340_1,0.96040106,Mountain Lady's Slipper (Cypripedium montanum),1923,lower left in watercolor: M. V. W./Sinclair Canon/8  6.28.1923,Match
42602769,Pussy-cars,Calochortus elegans,2,SAAM-1970.355.341_2,0.9025807,Pussy-ears (Calochortus elegans),1923,"lower left in watercolor: M. V. W./Cranbrook/14.  7.15.1923.
back lower left in pencil: Warsposa Lilly (sic)",Match
42602771,False Locoweed,Oxytropis gracilis,3,SAAM-1970.355.342_2,0.9350132,False Locoweed (Oxytropia gracilis),1920,lower right in watercolor: M. V. W./Ghost River/7.10.1920./H,Match
42602773,Nodding Ladies-tresses,Ibidium cernuum,4,SAAM-1970.355.343_2,0.87130105,Nodding Ladies-Tresses (Ibidium cernum),1905,lower left in watercolor: Mount Kisco/9.27.1905-,Match
42602775,Pink Fumewort,Capnoides sempervirens,5,SAAM-1970.355.344_2,0.9275449,Pink Fumeroot (Capnoides sempervirens),1922,lower right in watercolor: M. V. W./Kootenay Camp/9.18.1922/21,Match
42602777,Sun-dial Lupine,Lupinus perennis,6,SAAM-1970.355.345_1,0.9613173,Sun Dial Lupine (Lupinus perennis),1919,"lower right in watercolor: M. V. W./5.19.1919. 
back lower left in pencil: Lupinus perennis",Match
42602779,Big Whortleberry,Vaccinium membranaceum,7,SAAM-1970.355.346_2,0.9551654,Big Whortleberry (Vaccinium membranaceum),1916,lower left in watercolor: Hector/9.6.1916,Match
42602781,Pinebarren Gentian,Gentiana parryi,8,SAAM-1970.355.347_1,0.84908026,Pinebarren Gentian (Gentiana porphyrio),1923,lower right in watercolor: M. V. W./10.27.1923,Match
42602783,Skeletonflower,Lygodesmia juncea,9,SAAM-1970.355.348_2,0.90672016,Skeleton Flower (Lygodesmia juncea),1923,lower left in watercolor: M. V. W./Kootenay River Bridge/7.22.1923-/7,Match
42602785,Lake Louise Arnica,Arnica louiseana,10,SAAM-1970.355.349_2,0.8192728,Lake Louise Arnica (Arnica louisiana),1922,lower left in watercolor: M. V. W./Clearwater/8.5.1922/9.,Match
